record_id	mention_count	ann_text_en	ann_text_de_old	ann_text_de	general_definition_en	lay_definition_en	lay_definition_de
CARDIO_000001	49	Vitals	Vitalwerte	Vitalparameter	Vitals	Vitals are important body measurements like blood pressure and heart rate that reveal how well your body is functioning.	Vitalwerte sind wichtige Körperwerte wie Blutdruck und Herzfrequenz, die Aufschluss darüber geben, wie gut Ihr Körper funktioniert.
CARDIO_000002	15	Vital Signs	Vitalparameter	Vitalparameter	The act of assessing an individual's current temperature, heart rate, respiratory rate, pulse oxygenation, and blood pressure.	Vital signs are numbers that tell how well your body is doing, like your pulse, blood pressure, and temperature.	Vitalparameter sind Werte, die Aufschluss darüber geben, wie es Ihrem Körper geht, beispielsweise Puls, Blutdruck und Temperatur.
CARDIO_000003	17	hr	hr	hr	hr	Heart rate is how quickly or slowly your heart beats.	Die Herzfrequenz gibt an, wie schnell oder langsam Ihr Herz schlägt.
CARDIO_000004	1	RhythmNext	RhythmNext	RhythmNext	RhythmNext	A genetic test that checks DNA for heart arrhythmia-related gene variations.	Ein Gentest, bei dem die DNA auf Genvariationen untersucht wird, die mit Herzrhythmusstörungen in Zusammenhang stehen.
CARDIO_000005	9	arrhythmias	Herzrhythmusstörungen	Arrhythmien	Irregular HEART RATE caused by abnormal function of the SINOATRIAL NODE. It is characterized by a greater than 10% change between the maximum and the minimum sinus cycle length or 120 milliseconds.	A medical term for issues with your heartbeat's speed or regularity.	Ein medizinischer Begriff für Störungen der Herzfrequenz oder des Herzrhythmus.
CARDIO_000006	2	pad	Pad	pad	A disorder of the arteries supplying the upper and lower extremity and the visceral organs. This includes the mesenteric arteries, the renal arteries and the aorta and excludes cerebrovascular arterial disease. Patients experience cramping and pain usually in the calves and thighs while walking. The symptoms subside with rest.	Blood pressure in a specific artery.	Blutdruck in einer bestimmten Arterie.
CARDIO_000007	3	Lisinopril	Lisinopril	Lisinopril	One of the ANGIOTENSIN-CONVERTING ENZYME INHIBITORS (ACE inhibitors), orally active, that has been used in the treatment of hypertension and congestive heart failure.	A drug for treating high blood pressure.	Ein Medikament zur Behandlung von Bluthochdruck.
CARDIO_000008	211	aspirin	Aspirin	Aspirin	The prototypical analgesic used in the treatment of mild to moderate pain. It has anti-inflammatory and antipyretic properties and acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis. (From Martindale, The Extra Pharmacopoeia, 30th ed, p5)	A drug used for pain relief, reducing fever and inflammation, and lowering the risk of heart attack.	Ein Arzneimittel zur Schmerzlinderung, zur Senkung von Fieber und Entzündungen sowie zur Verringerung des Risikos eines Herzinfarkts.
CARDIO_000009	32	hydrochlorothiazide	Hydrochlorothiazid	Hydrochlorothiazid	A thiazide diuretic often considered the prototypical member of this class. It reduces the reabsorption of electrolytes from the renal tubules. This results in increased excretion of water and electrolytes, including sodium, potassium, chloride, and magnesium. It is used in the treatment of several disorders including edema, hypertension, diabetes insipidus, and hypoparathyroidism.	A medication that helps reduce excess fluid in the body and can be used to treat high blood pressure and swelling.	Ein Medikament, das dabei hilft, überschüssige Flüssigkeit im Körper abzubauen, und zur Behandlung von Bluthochdruck und Schwellungen eingesetzt werden kann.
CARDIO_000010	6	losartan	Losartan	Losartan	An antagonist of ANGIOTENSIN TYPE 1 RECEPTOR with antihypertensive activity due to the reduced pressor effect of ANGIOTENSIN II.	A medication for lowering high blood pressure.	Ein Medikament zur Senkung von Bluthochdruck.
CARDIO_000011	51	MI	MI	MI	NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).	Heart attack: Death of heart tissue due to lack of oxygen.	Herzinfarkt: Absterben von Herzgewebe aufgrund von Sauerstoffmangel.
CARDIO_000012	1	Mi	Mi	Mi	NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).	Mi is when the heart muscle dies because it isn't getting enough oxygen, also known as a heart attack.	Mi tritt auf, wenn der Herzmuskel abstirbt, weil er nicht ausreichend mit Sauerstoff versorgt wird; dies wird auch als Herzinfarkt bezeichnet.
CARDIO_000013	9	Afib	Vorhofflimmern	Vorhofflimmern	A disorder characterized by a long standing and persistent uncoordinated atrial myocardium activation due to multiple reentry circuits with consequent deterioration of atrial mechanical function. Instead of intermittently contracting, the atria quiver continuously in a chaotic pattern, causing a totally irregular, often tachycardia ventricular rate. On the ECG it is characterized by the replacement of consistent P waves by rapid oscillations or fibrillatory waves that vary in size, shape, and timing, associated with an irregular, frequently rapid ventricular response when atrioventricular conduction is intact.	Afib is when your heart beats abnormally, making you tired and increasing the risk of a stroke.	Bei Vorhofflimmern schlägt Ihr Herz unregelmäßig, was zu Müdigkeit führt und das Schlaganfallrisiko erhöht.
CARDIO_000014	1	Rheumatic Heart Disease	Rheumatische Herzerkrankung	Rheumatische Herzerkrankung	Pancarditis, involving inflammation of the endocardium, myocardium, and epicardium. It results from an autoimmune reaction following an infection with Streptococcus pyogenes (Group A Streptococci).	Heart damage caused by an untreated infection.	Durch eine unbehandelte Infektion verursachte Herzschädigung.
CARDIO_000015	1	Valvular Heart Disease	Herzklappenerkrankung	Herzklappenerkrankung	Pathological conditions involving any of the various HEART VALVES and the associated structures (PAPILLARY MUSCLES and CHORDAE TENDINEAE).	Valvular Heart Disease is when the valves of the heart do not work properly and affect the flow of blood.	Bei einer Herzklappenerkrankung funktionieren die Herzklappen nicht richtig, was den Blutfluss beeinträchtigt.
CARDIO_000016	8	MR	MR	Mitralinsuffizienz	Backflow of blood from the LEFT VENTRICLE into the LEFT ATRIUM due to imperfect closure of the MITRAL VALVE. This can lead to mitral valve regurgitation.	Abnormal blood flow in the heart that can cause issues when severe.	Eine Durchblutungsstörung im Herzen, die bei schwerem Verlauf zu Problemen führen kann.
CARDIO_000017	2	AI	KI	Aorteninsuffizienz	Pathological condition characterized by the backflow of blood from the ASCENDING AORTA back into the LEFT VENTRICLE, leading to regurgitation. It is caused by diseases of the AORTIC VALVE or its surrounding tissue (aortic root).	AI is when the heart's valve doesn't close right, causing blood to flow the wrong way.	Bei einer Herzklappeninsuffizienz schließt die Herzklappe nicht richtig, wodurch das Blut in die falsche Richtung fließt.
CARDIO_000018	1	PHTN	PHTN	PHTN	Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more.	Increased blood pressure in the lung arteries.	Erhöhter Blutdruck in den Lungenarterien.
CARDIO_000019	3	Essential hypertension	Essentielle Hypertonie	Essentielle Hypertonie	A condition of mild to moderate high blood pressure that has no identifiable cause.	High blood pressure without a clear reason.	Bluthochdruck ohne erkennbaren Grund.
CARDIO_000020	1	Essential Hypertension	Essentielle Hypertonie	Essentielle Hypertonie	A condition of mild to moderate high blood pressure that has no identifiable cause.	High blood pressure without a known cause.	Bluthochdruck ohne bekannte Ursache.
CARDIO_000021	43	Coronary artery disease	Koronare Herzkrankheit	Koronare Herzkrankheit	Pathological processes of CORONARY ARTERIES that may derive from a congenital abnormality, atherosclerotic, or non-atherosclerotic cause.	Coronary artery disease is when the blood vessels supplying the heart get blocked, which can be deadly if not managed.	Bei einer koronaren Herzkrankheit kommt es zu einer Verstopfung der Blutgefäße, die das Herz versorgen. Wird diese Erkrankung nicht behandelt, kann sie tödlich verlaufen.
CARDIO_000022	5	Myocardial infarction	Herzinfarkt	Herzinfarkt	NECROSIS of the MYOCARDIUM caused by an obstruction of the blood supply to the heart (CORONARY CIRCULATION).	A heart attack is when part of the heart muscle dies from not getting enough oxygen.	Ein Herzinfarkt liegt vor, wenn ein Teil des Herzmuskels abstirbt, weil er nicht ausreichend mit Sauerstoff versorgt wird.
CARDIO_000023	17	Atrial fibrillation	Vorhofflimmern	Vorhofflimmern	A disorder characterized by a dysrhythmia without discernible P waves and an irregular ventricular response due to multiple reentry circuits. The rhythm disturbance originates above the ventricles.	Atrial fibrillation is when your heart beats irregularly and can make you tired or more likely to have a stroke.	Bei Vorhofflimmern schlägt Ihr Herz unregelmäßig, was zu Müdigkeit führen und das Schlaganfallrisiko erhöhen kann.
CARDIO_000024	121	Cardiovascular	Herz-Kreislauf-System	Kardiovaskulär	Having to do with the heart and blood vessels.	Related to the blood vessels and heart.	Im Zusammenhang mit den Blutgefäßen und dem Herzen.
CARDIO_000025	4	Aortic stenosis	Aortenstenose	Aortenstenose	A pathological constriction that can occur above (supravalvular stenosis), below (subvalvular stenosis), or at the AORTIC VALVE. It is characterized by restricted outflow from the LEFT VENTRICLE into the AORTA.	The largest artery coming out of the heart gets narrower.	Die größte Arterie, die vom Herzen ausgeht, verengt sich.
CARDIO_000026	7	mitral valve prolapse	Mitralklappenprolaps	Mitralklappenprolaps	Abnormal protrusion or billowing of one or both of the leaflets of MITRAL VALVE into the LEFT ATRIUM during SYSTOLE. This allows the backflow of blood into left atrium leading to MITRAL VALVE INSUFFICIENCY; SYSTOLIC MURMURS; or CARDIAC ARRHYTHMIA.	Mitral valve prolapse is when the valve in the heart doesn't close properly because its flaps are floppy.	Ein Mitralklappenprolaps liegt vor, wenn sich die Herzklappe nicht richtig schließt, weil ihre Segel zu schlaff sind.
CARDIO_000027	18	Amiodarone	Amiodaron	Amiodaron	An antianginal and class III antiarrhythmic drug. It increases the duration of ventricular and atrial muscle action by inhibiting POTASSIUM CHANNELS and VOLTAGE-GATED SODIUM CHANNELS. There is a resulting decrease in heart rate and in vascular resistance.	A medication that helps control irregular heartbeats and is referred to as a potassium channel blocker.	Ein Medikament, das bei der Behandlung von Herzrhythmusstörungen hilft und als Kaliumkanalblocker bezeichnet wird.
CARDIO_000028	233	Lasix	Lasix	Lasix	Lasix	A medicine that helps to get rid of excess fluid from the body, often used for conditions like heart or kidney issues.	Ein Arzneimittel, das dabei hilft, überschüssige Flüssigkeit aus dem Körper auszuscheiden, und häufig bei Erkrankungen wie Herz- oder Nierenproblemen eingesetzt wird.
CARDIO_000029	106	Lopressor	Lopressor	Lopressor	Lopressor	A medicine for chest pain, heart rhythm issues, and high blood pressure.	Ein Arzneimittel gegen Brustschmerzen, Herzrhythmusstörungen und Bluthochdruck.
CARDIO_000030	55	amiodarone	Amiodaron	Amiodaron	An antianginal and class III antiarrhythmic drug. It increases the duration of ventricular and atrial muscle action by inhibiting POTASSIUM CHANNELS and VOLTAGE-GATED SODIUM CHANNELS. There is a resulting decrease in heart rate and in vascular resistance.	Medication that helps control irregular heartbeats by blocking potassium channels.	Ein Medikament, das durch die Hemmung von Kaliumkanälen zur Kontrolle von Herzrhythmusstörungen beiträgt.
CARDIO_000031	2	ATORVASTATIN	ATORVASTATIN	ATORVASTATIN	The calcium salt of atorvastatin, a synthetic lipid-lowering agent. Atorvastatin competitively inhibits hepatic hydroxymethyl-glutaryl coenzyme A (HMG-CoA) reductase, the enzyme which catalyzes the conversion of HMG-CoA to mevalonate, a key step in cholesterol synthesis. This agent increases the number of LDL receptors on hepatic cell surfaces, enhancing the uptake and catabolism of LDL and reducing LDL production and the number of LDL particles, and lowers plasma cholesterol and lipoprotein levels. Like other statins, atorvastatin may also display direct antineoplastic activity, possibly by inhibiting farnesylation and geranylgeranylation of proteins such as small GTP-binding proteins, which may result in the arrest of cells in the G1 phase of the cell cycle. This agent may also sensitize tumor cells to cyctostatic drugs, possibly through the mTOR-dependent inhibition of Akt phosphorylation.	A drug that helps reduce bad cholesterol in the blood to prevent heart issues like stroke and heart attacks.	Ein Medikament, das dazu beiträgt, das „schlechte“ Cholesterin im Blut zu senken, um Herzproblemen wie Schlaganfällen und Herzinfarkten vorzubeugen.
CARDIO_000032	12	FUROSEMIDE	FUROSEMID	FUROSEMID	FUROSEMIDE	Medication used for high blood pressure and swelling, also known as Lasix.	Ein Medikament zur Behandlung von Bluthochdruck und Ödemen, auch bekannt als Lasix.
CARDIO_000033	7	LASIX	LASIX	LASIX	LASIX	Lasix is a medication that helps your body get rid of extra water and is often used for conditions like heart failure and kidney disease.	Lasix ist ein Medikament, das Ihrem Körper hilft, überschüssiges Wasser auszuscheiden, und wird häufig bei Erkrankungen wie Herzinsuffizienz und Nierenerkrankungen eingesetzt.
CARDIO_000034	28	levothyroxine	Levothyroxin	Levothyroxin	A synthetic levoisomer of thyroxine (T4), similar to the endogenous hormone produced by the thyroid gland. Thyroxine is de-iodinated to form triiodothyronine (T3) in the peripheral tissues. T3 enters the cell and binds to nuclear thyroid hormone receptors, and the hormone-receptor complex in turn triggers gene expression and produces proteins required in the regulation of cellular respiration, thermogenesis, cellular growth and differentiation, and metabolism of proteins, carbohydrates and lipids. T4 and T3 also possess cardiac stimulatory effect.	A medication often prescribed for thyroid hormone replacement.	Ein Medikament, das häufig zur Substitution von Schilddrüsenhormonen verschrieben wird.
CARDIO_000035	15	CARDIOVASCULAR	HERZ-KREISLAUF	KARDIOVASKULÄR	Having to do with the heart and blood vessels.	Having to do with the blood vessels and the heart.	Was die Blutgefäße und das Herz betrifft.
CARDIO_000036	4	Palpitations	Herzklopfen	Herzklopfen	A rapid or irregular heartbeat that a person can feel.	Feeling like your heart is racing or skipping beats.	Das Gefühl, dass das Herz rast oder Aussetzer hat.
CARDIO_000037	1	Claudication	Claudicatio	Claudicatio	A symptom complex characterized by pain and weakness in SKELETAL MUSCLE group associated with exercise, such as leg pain and weakness brought on by walking. Such muscle limpness disappears after a brief rest and is often relates to arterial STENOSIS; muscle ISCHEMIA; and accumulation of LACTATE.	Pain and cramping in the legs or arms that happen when you exercise due to low blood flow.	Schmerzen und Krämpfe in den Beinen oder Armen, die beim Sport aufgrund einer verminderten Durchblutung auftreten.
CARDIO_000038	132	VITALS	LEBENSZEICHEN	Vitalparameter	VITALS	VITALS are the numbers that tell how your body is doing, like blood pressure, heart rate, breathing rate, and temperature.	Vitalwerte sind die Werte, die Aufschluss darüber geben, wie es Ihrem Körper geht, beispielsweise Blutdruck, Herzfrequenz, Atemfrequenz und Temperatur.
CARDIO_000039	3	Pulse	Puls	Puls	The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot.	Your pulse is the beat of your heart that you can feel on your body.	Dein Puls ist der Herzschlag, den du an deinem Körper spüren kannst.
CARDIO_000040	22	Monitor	Monitor	Monitor	In medicine, to regularly watch and check a person or condition to see if there is any change. Also refers to a device that records and/or displays patient data, such as for an electrocardiogram (EKG).	Keep an eye on a patient's progress and health over time.	Behalten Sie den Verlauf und den Gesundheitszustand eines Patienten über einen längeren Zeitraum hinweg im Auge.
CARDIO_000041	3	Pulse Ox	Pulsoximeter	Pulsoximeter	The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot.	Measures oxygen levels in the blood.	Misst den Sauerstoffgehalt im Blut.
CARDIO_000042	93	rhythm	Rhythmus	Rhythmus	An electrocardiographic finding in which the cardiac rhythm is controlled by an electrical impulse from an artificial cardiac pacemaker. (CDISC)	A regular beat or pattern of movement or sound.	Ein regelmäßiger Rhythmus oder ein regelmäßiges Bewegungs- oder Klangmuster.
CARDIO_000043	5	systolic ejection murmur	systolisches Auswurfgeräusch	systolisches Ejektionsgeräusch	Heart murmurs which are systolic in timing. They occur between the first and the second HEART SOUNDS, between the closure of MITRAL VALVE and TRICUSPID VALVE and the closure of semilunar aortic and pulmonary valves. Systolic murmurs include ejection murmurs and regurgitant murmurs.	A swishing noise heard from blood flowing through a narrowed blood vessel or faulty heart valve.	Ein rauschendes Geräusch, das entsteht, wenn Blut durch ein verengt Blutgefäß oder eine defekte Herzklappe fließt.
CARDIO_000044	4	VS	VS	VS	The act of assessing an individual's current temperature, heart rate, respiratory rate, pulse oxygenation, and blood pressure.	Signs that show how well your body is working, like heart rate and blood pressure.	Anzeichen, die Aufschluss darüber geben, wie gut Ihr Körper funktioniert, wie beispielsweise Herzfrequenz und Blutdruck.
CARDIO_000045	1	Homocystine	Homocystin	Homocystin	The determination of the amount of homocysteine amino acid present in a sample.	Amino acid that can lead to health issues like blood clotting and heart disease if levels are too high.	Eine Aminosäure, die bei zu hohen Konzentrationen zu gesundheitlichen Problemen wie Blutgerinnseln und Herzerkrankungen führen kann.
CARDIO_000046	119	metoprolol	Metoprolol	Metoprolol	A selective adrenergic beta-1 blocking agent that is commonly used to treat ANGINA PECTORIS; HYPERTENSION; and CARDIAC ARRHYTHMIAS.	A medicine that helps with chest pain, irregular heartbeats, and high blood pressure.	Ein Arzneimittel, das bei Brustschmerzen, Herzrhythmusstörungen und Bluthochdruck hilft.
CARDIO_000047	32	simvastatin	Simvastatin	Simvastatin	A derivative of LOVASTATIN and potent competitive inhibitor of 3-hydroxy-3-methylglutaryl coenzyme A reductase (HYDROXYMETHYLGLUTARYL COA REDUCTASES), which is the rate-limiting enzyme in cholesterol biosynthesis. It may also interfere with steroid hormone production. Due to the induction of hepatic LDL RECEPTORS, it increases breakdown of LDL CHOLESTEROL.	A drug that helps lower cholesterol levels to prevent heart attacks and strokes.	Ein Medikament, das dazu beiträgt, den Cholesterinspiegel zu senken, um Herzinfarkten und Schlaganfällen vorzubeugen.
CARDIO_000048	1	BUTALBITAL / APAP / CAFFEINE	BUTALBITAL / APAP / KOFFEIN	BUTALBITAL / APAP / KOFFEIN	A barbiturate that exerts its effect by mimicking the inhibitory effect of gamma-aminobutyric acid (GABA) by binding to a site, distinct from the benzodiazepine binding site, on the GABA receptor. This leads to an increase in the duration of GABA-mediated opening of chloride channels and enhances the inhibitory effect of GABA. Consequently, its physiologic effects include sedation, hypnosis, reduction of anxiety, and respiratory depression and the drug causes tolerance and dependence. / Analgesic antipyretic derivative of acetanilide. It has weak anti-inflammatory properties and is used as a common analgesic, but may cause liver, blood cell, and kidney damage. / A methylxanthine naturally occurring in some beverages and also used as a pharmacological agent. Caffeine's most notable pharmacological effect is as a central nervous system stimulant, increasing alertness and producing agitation. It also relaxes SMOOTH MUSCLE, stimulates CARDIAC MUSCLE, stimulates DIURESIS, and appears to be useful in the treatment of some types of headache. Several cellular actions of caffeine have been observed, but it is not entirely clear how each contributes to its pharmacological profile. Among the most important are inhibition of cyclic nucleotide PHOSPHODIESTERASES, antagonism of ADENOSINE RECEPTORS, and modulation of intracellular calcium handling.	A combination of drugs that helps relieve tension headaches.	Eine Wirkstoffkombination, die zur Linderung von Spannungskopfschmerzen beiträgt.
CARDIO_000049	8	atorvastatin	Atorvastatin	Atorvastatin	The calcium salt of atorvastatin, a synthetic lipid-lowering agent. Atorvastatin competitively inhibits hepatic hydroxymethyl-glutaryl coenzyme A (HMG-CoA) reductase, the enzyme which catalyzes the conversion of HMG-CoA to mevalonate, a key step in cholesterol synthesis. This agent increases the number of LDL receptors on hepatic cell surfaces, enhancing the uptake and catabolism of LDL and reducing LDL production and the number of LDL particles, and lowers plasma cholesterol and lipoprotein levels. Like other statins, atorvastatin may also display direct antineoplastic activity, possibly by inhibiting farnesylation and geranylgeranylation of proteins such as small GTP-binding proteins, which may result in the arrest of cells in the G1 phase of the cell cycle. This agent may also sensitize tumor cells to cyctostatic drugs, possibly through the mTOR-dependent inhibition of Akt phosphorylation.	A medication that helps reduce bad cholesterol levels to prevent heart issues like stroke or heart attack.	Ein Medikament, das dazu beiträgt, den Spiegel des „schlechten“ Cholesterins zu senken, um Herzproblemen wie einem Schlaganfall oder einem Herzinfarkt vorzubeugen.
CARDIO_000050	47	furosemide	Furosemid	Furosemid	A benzoic-sulfonamide-furan. It is a diuretic with fast onset and short duration that is used for EDEMA and chronic RENAL INSUFFICIENCY.	Medication that treats high blood pressure and swelling, also known as Lasix.	Ein Medikament zur Behandlung von Bluthochdruck und Ödemen, auch bekannt als Lasix.
CARDIO_000051	32	Pulse	Puls	Puls	The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot.	The pulse is the beat of your heart.	Der Puls ist der Herzschlag.
CARDIO_000052	17	murmurs	Gemurmel	Herzgeräusche	Heart sounds caused by vibrations resulting from the flow of blood through the heart. Heart murmurs can be examined by HEART AUSCULTATION, and analyzed by their intensity (6 grades), duration, timing (systolic, diastolic, or continuous), location, transmission, and quality (musical, vibratory, blowing, etc).	Sounds in the heart caused by blood flow that can signal underlying health issues.	Durch den Blutfluss verursachte Herzgeräusche, die auf zugrunde liegende Gesundheitsprobleme hinweisen können.
CARDIO_000053	1	Acetylsalicylic acid	Acetylsalicylsäure	Acetylsalicylsäure	The prototypical analgesic used in the treatment of mild to moderate pain. It has anti-inflammatory and antipyretic properties and acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis. (From Martindale, The Extra Pharmacopoeia, 30th ed, p5)	A medication that helps with pain, fever, and swelling.	Ein Arzneimittel, das bei Schmerzen, Fieber und Schwellungen hilft.
CARDIO_000054	1	Quinidine	Chinidin	Chinidin	The gluconate salt form of quinidine, an alkaloid with antimalarial and antiarrhythmic (Class la) properties. Quinidine gluconate exerts its anti-malarial activity by acting primarily as an intra-erythrocytic schizonticide through association with the hemepolymer (hemozoin) in the acidic food vacuole of the parasite thereby preventing further polymerization by heme polymerase enzyme. This results in accumulation of toxic heme and death of the parasite. Quinidine gluconate exerts its antiarrhythmic effects by depressing the flow of sodium ions into cells during phase 0 of the cardiac action potential, thereby slowing the impulse conduction through the atrioventricular (AV) node, reducing the maximal rate of phase 0 depolarization and prolonging the refractory period. Quinidine gluconate also reduces the slope of phase 4 depolarization in Purkinje-fibres resulting in slowed conduction and reduced automaticity in the heart.	A drug for irregular heartbeats or malaria.	Ein Medikament gegen Herzrhythmusstörungen oder Malaria.
CARDIO_000055	4	Quinine	Chinin	Chinin	An optical isomer of quinine, extracted from the bark of the CHINCHONA tree and similar plant species. This alkaloid dampens the excitability of cardiac and skeletal muscles by blocking sodium and potassium currents across cellular membranes. It prolongs cellular ACTION POTENTIALS, and decreases automaticity. Quinidine also blocks muscarinic and alpha-adrenergic neurotransmission.	A drug called Quinine.	Ein Medikament namens Chinin.
CARDIO_000056	31	tachycardic	tachykardisch	tachykardisch	An electrocardiographic finding of abnormally rapid heart rate. Thresholds for different age, gender, and patient populations exist.	Your heart is beating too fast.	Dein Herz schlägt zu schnell.
CARDIO_000057	128	EKG	EKG	EKG	An electrocardiographic finding of a change in cardiac electrical activity.	A heart test that checks the electric activity and rhythm.	Eine Herzuntersuchung, bei der die elektrische Aktivität und der Herzrhythmus überprüft werden.
CARDIO_000058	21	sinus tachycardia	Sinustachykardie	Sinustachykardie	Abnormal communication most commonly seen between two internal organs, or between an internal organ and the surface of the body. tachycardia	Sinus tachycardia is when the heart beats rapidly but consistently at a rate of 100 beats per minute or more while at rest.	Von einer Sinustachykardie spricht man, wenn das Herz in Ruhe schnell, aber gleichmäßig mit einer Frequenz von 100 Schlägen pro Minute oder mehr schlägt.
CARDIO_000059	4	PVCs	PVCs	PVCs	A type of cardiac arrhythmia with premature contractions of the HEART VENTRICLES. It is characterized by the premature QRS complex on ECG that is of abnormal shape and great duration (generally >129 msec). It is the most common form of all cardiac arrhythmias. Premature ventricular complexes have no clinical significance except in concurrence with heart diseases.	Extra heartbeats that start in the ventricles and are also known as skipped heartbeats.	Zusätzliche Herzschläge, die in den Herzkammern entstehen und auch als Herzaussetzer bezeichnet werden.
CARDIO_000060	65	Cardiac	Herz-	Kardial	Having to do with the heart.	Related to the heart.	Das Herz betreffend.
CARDIO_000061	1	coronary heart disease	koronare Herzkrankheit	Koronare Herzkrankheit	An imbalance between myocardial functional requirements and the capacity of the CORONARY VESSELS to supply sufficient blood flow. It is a form of MYOCARDIAL ISCHEMIA (insufficient blood supply to the heart muscle) caused by a decreased capacity of the coronary vessels.	A condition where the blood vessels supplying blood and oxygen to the heart are narrowed or blocked.	Ein Zustand, bei dem die Blutgefäße, die das Herz mit Blut und Sauerstoff versorgen, verengt oder verstopft sind.
CARDIO_000062	73	CHF	CHF	CHF	Heart failure accompanied by EDEMA, such as swelling of the legs and ankles and congestion in the lungs.	The heart struggles to pump blood in CHF.	Bei einer Herzinsuffizienz (CHF) hat das Herz Schwierigkeiten, Blut zu pumpen.
CARDIO_000063	16	cerebrovascular accident	zerebrovaskulärer Vorfall	zerebrovaskuläres Ereignis	A spectrum of pathological conditions of impaired blood flow in the brain. They can involve vessels (ARTERIES or VEINS) in the CEREBRUM, the CEREBELLUM, and the BRAIN STEM. Major categories include INTRACRANIAL ARTERIOVENOUS MALFORMATIONS; BRAIN ISCHEMIA; CEREBRAL HEMORRHAGE; and others. Unexpected and unintentional events, typically resulting in ACCIDENTAL INJURIES.	A stroke happens when blood flow to a part of the brain is blocked, causing damage to brain tissue.	Ein Schlaganfall tritt auf, wenn die Blutversorgung eines Teils des Gehirns unterbrochen wird, wodurch das Hirngewebe geschädigt wird.
CARDIO_000064	41	CVA	CVA	CVA	A group of pathological conditions characterized by sudden, non-convulsive loss of neurological function due to BRAIN ISCHEMIA or INTRACRANIAL HEMORRHAGES. Stroke is classified by the type of tissue NECROSIS, such as the anatomic location, vasculature involved, etiology, age of the affected individual, and hemorrhagic vs. non-hemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)	A CVA is when part of the brain is damaged due to lack of blood flow, also known as a stroke.	Eine zerebrovaskuläre Accidentie (CVA) liegt vor, wenn ein Teil des Gehirns aufgrund einer Durchblutungsstörung geschädigt wird; dies wird auch als Schlaganfall bezeichnet.
CARDIO_000065	233	coronary artery disease	Koronarer Herzkrankheit	Koronare Herzkrankheit	Pathological processes of CORONARY ARTERIES that may derive from a congenital abnormality, atherosclerotic, or non-atherosclerotic cause.	When the blood vessels that supply blood to the heart get blocked, it can be dangerous.	Wenn die Blutgefäße, die das Herz mit Blut versorgen, verstopft sind, kann das gefährlich sein.
