record_id,term_en,term_de,term_norm_en,term_norm_de,mention_count
CARDIO_000001,Vitals,Vitalparameter,vitals,vitalparameter,49
CARDIO_000002,Vital Signs,Vitalparameter,vital signs,vitalparameter,15
CARDIO_000003,hr,hr,hr,hr,17
CARDIO_000004,RhythmNext,RhythmNext,rhythmnext,rhythmnext,1
CARDIO_000005,arrhythmias,Arrhythmien,arrhythmias,arrhythmien,9
CARDIO_000006,pad,pad,pad,pad,2
CARDIO_000007,Lisinopril,Lisinopril,lisinopril,lisinopril,3
CARDIO_000008,aspirin,Aspirin,aspirin,aspirin,211
CARDIO_000009,hydrochlorothiazide,Hydrochlorothiazid,hydrochlorothiazide,hydrochlorothiazid,32
CARDIO_000010,losartan,Losartan,losartan,losartan,6
CARDIO_000011,MI,MI,mi,mi,51
CARDIO_000012,Mi,Mi,mi,mi,1
CARDIO_000013,Afib,Vorhofflimmern,afib,vorhofflimmern,9
CARDIO_000014,Rheumatic Heart Disease,Rheumatische Herzerkrankung,rheumatic heart disease,rheumatische herzerkrankung,1
CARDIO_000015,Valvular Heart Disease,Herzklappenerkrankung,valvular heart disease,herzklappenerkrankung,1
CARDIO_000016,MR,Mitralinsuffizienz,mr,mitralinsuffizienz,8
CARDIO_000017,AI,Aorteninsuffizienz,ai,aorteninsuffizienz,2
CARDIO_000018,PHTN,PHTN,phtn,phtn,1
CARDIO_000019,Essential hypertension,Essentielle Hypertonie,essential hypertension,essentielle hypertonie,3
CARDIO_000020,Essential Hypertension,Essentielle Hypertonie,essential hypertension,essentielle hypertonie,1
CARDIO_000021,Coronary artery disease,Koronare Herzkrankheit,coronary artery disease,koronare herzkrankheit,43
CARDIO_000022,Myocardial infarction,Herzinfarkt,myocardial infarction,herzinfarkt,5
CARDIO_000023,Atrial fibrillation,Vorhofflimmern,atrial fibrillation,vorhofflimmern,17
CARDIO_000024,Cardiovascular,Kardiovaskulär,cardiovascular,kardiovaskulär,121
CARDIO_000025,Aortic stenosis,Aortenstenose,aortic stenosis,aortenstenose,4
CARDIO_000026,mitral valve prolapse,Mitralklappenprolaps,mitral valve prolapse,mitralklappenprolaps,7
CARDIO_000027,Amiodarone,Amiodaron,amiodarone,amiodaron,18
CARDIO_000028,Lasix,Lasix,lasix,lasix,233
CARDIO_000029,Lopressor,Lopressor,lopressor,lopressor,106
CARDIO_000030,amiodarone,Amiodaron,amiodarone,amiodaron,55
CARDIO_000031,ATORVASTATIN,ATORVASTATIN,atorvastatin,atorvastatin,2
CARDIO_000032,FUROSEMIDE,FUROSEMID,furosemide,furosemid,12
CARDIO_000033,LASIX,LASIX,lasix,lasix,7
CARDIO_000034,levothyroxine,Levothyroxin,levothyroxine,levothyroxin,28
CARDIO_000035,CARDIOVASCULAR,KARDIOVASKULÄR,cardiovascular,kardiovaskulär,15
CARDIO_000036,Palpitations,Herzklopfen,palpitations,herzklopfen,4
CARDIO_000037,Claudication,Claudicatio,claudication,claudicatio,1
CARDIO_000038,VITALS,Vitalparameter,vitals,vitalparameter,132
CARDIO_000039,Pulse,Puls,pulse,puls,3
CARDIO_000040,Monitor,Monitor,monitor,monitor,22
CARDIO_000041,Pulse Ox,Pulsoximeter,pulse ox,pulsoximeter,3
CARDIO_000042,rhythm,Rhythmus,rhythm,rhythmus,93
CARDIO_000043,systolic ejection murmur,systolisches Ejektionsgeräusch,systolic ejection murmur,systolisches ejektionsgeräusch,5
CARDIO_000044,VS,VS,vs,vs,4
CARDIO_000045,Homocystine,Homocystin,homocystine,homocystin,1
CARDIO_000046,metoprolol,Metoprolol,metoprolol,metoprolol,119
CARDIO_000047,simvastatin,Simvastatin,simvastatin,simvastatin,32
CARDIO_000048,BUTALBITAL / APAP / CAFFEINE,BUTALBITAL / APAP / KOFFEIN,butalbital / apap / caffeine,butalbital / apap / koffein,1
CARDIO_000049,atorvastatin,Atorvastatin,atorvastatin,atorvastatin,8
CARDIO_000050,furosemide,Furosemid,furosemide,furosemid,47
CARDIO_000051,Pulse,Puls,pulse,puls,32
CARDIO_000052,murmurs,Herzgeräusche,murmurs,herzgeräusche,17
CARDIO_000053,Acetylsalicylic acid,Acetylsalicylsäure,acetylsalicylic acid,acetylsalicylsäure,1
CARDIO_000054,Quinidine,Chinidin,quinidine,chinidin,1
CARDIO_000055,Quinine,Chinin,quinine,chinin,4
CARDIO_000056,tachycardic,tachykardisch,tachycardic,tachykardisch,31
CARDIO_000057,EKG,EKG,ekg,ekg,128
CARDIO_000058,sinus tachycardia,Sinustachykardie,sinus tachycardia,sinustachykardie,21
CARDIO_000059,PVCs,PVCs,pvcs,pvcs,4
CARDIO_000060,Cardiac,Kardial,cardiac,kardial,65
CARDIO_000061,coronary heart disease,Koronare Herzkrankheit,coronary heart disease,koronare herzkrankheit,1
CARDIO_000062,CHF,CHF,chf,chf,73
CARDIO_000063,cerebrovascular accident,zerebrovaskuläres Ereignis,cerebrovascular accident,zerebrovaskuläres ereignis,16
CARDIO_000064,CVA,CVA,cva,cva,41
CARDIO_000065,coronary artery disease,Koronare Herzkrankheit,coronary artery disease,koronare herzkrankheit,233
CARDIO_000066,Levothyroxine Sodium,Levothyroxin-Natrium,levothyroxine sodium,levothyroxin-natrium,1
CARDIO_000067,Heart Rate,Herzfrequenz,heart rate,herzfrequenz,3
CARDIO_000068,Physical Exam Constitutional,Körperliche Untersuchung Konstitution,physical exam constitutional,körperliche untersuchung konstitution,1
CARDIO_000069,Transthoracic echocardiogram,Transthorakales Echokardiogramm,transthoracic echocardiogram,transthorakales echokardiogramm,2
CARDIO_000070,LV,LV,lv,lv,36
CARDIO_000071,ECG,ECG,ecg,ecg,15
CARDIO_000072,ischemia,Ischämie,ischemia,ischämie,110
CARDIO_000073,arrhythmia,Arrhythmie,arrhythmia,arrhythmie,27
CARDIO_000074,VPC,VPC,vpc,vpc,1
CARDIO_000075,APC,APC,apc,apc,2
CARDIO_000076,TL-201,TL-201,tl-201,tl-201,1
CARDIO_000077,Moyamoya disease,Moyamoya-Krankheit,moyamoya disease,moyamoya-krankheit,1
CARDIO_000078,lupus,Lupus,lupus,lupus,26
CARDIO_000079,atrophy,Atrophie,atrophy,atrophie,40
CARDIO_000080,caffeine,Koffein,caffeine,koffein,9
CARDIO_000081,small vessel ischemic,kleingefäßische Ischämie,small vessel ischemic,kleingefäßische ischämie,15
CARDIO_000082,arterionephrosclerosis,Arterionephrosklerose,arterionephrosclerosis,arterionephrosklerose,1
CARDIO_000083,HTN,HTN,htn,htn,54
CARDIO_000084,VITAL SIGNS,VITALZEICHEN,vital signs,vitalzeichen,37
